Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         9 |                 85.000000 |                     179 |                   94
        10 |                105.000000 |                     251 |                  146
        11 |                126.000000 |                     258 |                  132
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      68 |                   29
         7 |                 52.000000 |                      93 |                   41
         8 |                 68.000000 |                     129 |                   61
         9 |                 85.000000 |                     168 |                   83
        10 |                105.000000 |                     263 |                  158
        11 |                126.000000 |                     289 |                  163
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      65 |                   38
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     121 |                   69
         8 |                 68.000000 |                     211 |                  143
         9 |                 85.000000 |                     253 |                  168
        10 |                105.000000 |                     301 |                  196
        11 |                126.000000 |                     320 |                  194
        12 |                150.000000 |                     345 |                  195
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      88 |                   49
         7 |                 52.000000 |                     112 |                   60
         8 |                 68.000000 |                     149 |                   81
         9 |                 85.000000 |                     191 |                  106
        10 |                105.000000 |                     245 |                  140
        11 |                126.000000 |                     288 |                  162
        12 |                150.000000 |                     368 |                  218
        13 |                175.000000 |                     435 |                  260
        14 |                203.000000 |                     454 |                  251
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      45 |                   27
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     129 |                   77
         8 |                 68.000000 |                     145 |                   77
         9 |                 85.000000 |                     214 |                  129
        10 |                105.000000 |                     247 |                  142
        11 |                126.000000 |                     312 |                  186
        12 |                150.000000 |                     318 |                  168
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      53 |                   26
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     124 |                   56
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                     101 |                   49
         8 |                 68.000000 |                     125 |                   57
         9 |                 85.000000 |                     196 |                  111
        10 |                105.000000 |                     254 |                  149
        11 |                126.000000 |                     321 |                  195
        12 |                150.000000 |                     342 |                  192
        13 |                175.000000 |                     378 |                  203
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      26 |                    8
         5 |                 27.000000 |                      59 |                   32
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                     104 |                   52
         8 |                 68.000000 |                     158 |                   90
         9 |                 85.000000 |                     228 |                  143
        10 |                105.000000 |                     252 |                  147
        11 |                126.000000 |                     314 |                  188
        12 |                150.000000 |                     337 |                  187
        13 |                175.000000 |                     408 |                  233
