Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         5 |                 27.000000 |                      58 |                   31
         6 |                 39.000000 |                      78 |                   39
         7 |                 52.000000 |                     123 |                   71
         8 |                 68.000000 |                     158 |                   90
         9 |                 85.000000 |                     188 |                  103
        10 |                105.000000 |                     258 |                  153
        11 |                126.000000 |                     306 |                  180
        12 |                150.000000 |                     338 |                  188
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      15 |                   10
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      23 |                    5
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                     110 |                   58
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      72 |                   33
         7 |                 52.000000 |                     101 |                   49
         8 |                 68.000000 |                     170 |                  102
         9 |                 85.000000 |                     221 |                  136
        10 |                105.000000 |                     241 |                  136
        11 |                126.000000 |                     257 |                  131
        12 |                150.000000 |                     306 |                  156
        13 |                175.000000 |                     364 |                  189
        14 |                203.000000 |                     449 |                  246
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      38 |                   11
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      27 |                   17
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     117 |                   65
         8 |                 68.000000 |                     144 |                   76
         9 |                 85.000000 |                     215 |                  130
        10 |                105.000000 |                     226 |                  121
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      45 |                   18
         6 |                 39.000000 |                      94 |                   55
         7 |                 52.000000 |                     157 |                  105
         8 |                 68.000000 |                     190 |                  122
         9 |                 85.000000 |                     200 |                  115
        10 |                105.000000 |                     206 |                  101
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      88 |                   49
         7 |                 52.000000 |                     132 |                   80
         8 |                 68.000000 |                     185 |                  117
         9 |                 85.000000 |                     220 |                  135
        10 |                105.000000 |                     259 |                  154
        11 |                126.000000 |                     291 |                  165
        12 |                150.000000 |                     370 |                  220
        13 |                175.000000 |                     428 |                  253
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      30 |                   12
         5 |                 27.000000 |                      44 |                   17
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                     111 |                   59
         8 |                 68.000000 |                     119 |                   51
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      97 |                   58
         7 |                 52.000000 |                     108 |                   56
         8 |                 68.000000 |                     159 |                   91
         9 |                 85.000000 |                     242 |                  157
        10 |                105.000000 |                     274 |                  169
        11 |                126.000000 |                     335 |                  209
        12 |                150.000000 |                     361 |                  211
        13 |                175.000000 |                     362 |                  187
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      45 |                   27
         5 |                 27.000000 |                      79 |                   52
         6 |                 39.000000 |                      98 |                   59
         7 |                 52.000000 |                     141 |                   89
         8 |                 68.000000 |                     188 |                  120
         9 |                 85.000000 |                     255 |                  170
        10 |                105.000000 |                     285 |                  180
        11 |                126.000000 |                     301 |                  175
        12 |                150.000000 |                     437 |                  287
        13 |                175.000000 |                     446 |                  271
        14 |                203.000000 |                     447 |                  244
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                      94 |                   42
         8 |                 68.000000 |                     129 |                   61
         9 |                 85.000000 |                     159 |                   74
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                      98 |                   46
         8 |                 68.000000 |                     104 |                   36
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      44 |                   17
         6 |                 39.000000 |                      60 |                   21
         7 |                 52.000000 |                      97 |                   45
         8 |                 68.000000 |                     148 |                   80
         9 |                 85.000000 |                     204 |                  119
        10 |                105.000000 |                     233 |                  128
        11 |                126.000000 |                     321 |                  195
        12 |                150.000000 |                     352 |                  202
        13 |                175.000000 |                     451 |                  276
        14 |                203.000000 |                     456 |                  253
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      12 |                    2
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      55 |                   28
         6 |                 39.000000 |                      91 |                   52
         7 |                 52.000000 |                     122 |                   70
         8 |                 68.000000 |                     143 |                   75
         9 |                 85.000000 |                     178 |                   93
        10 |                105.000000 |                     235 |                  130
        11 |                126.000000 |                     306 |                  180
        12 |                150.000000 |                     324 |                  174
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      59 |                   32
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                     122 |                   70
         8 |                 68.000000 |                     159 |                   91
         9 |                 85.000000 |                     217 |                  132
        10 |                105.000000 |                     244 |                  139
        11 |                126.000000 |                     266 |                  140
        12 |                150.000000 |                     331 |                  181
        13 |                175.000000 |                     425 |                  250
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      14 |                    4
         4 |                 18.000000 |                      26 |                    8
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                     103 |                   51
         8 |                 68.000000 |                     136 |                   68
         9 |                 85.000000 |                     166 |                   81
        10 |                105.000000 |                     200 |                   95
        11 |                126.000000 |                     214 |                   88
        12 |                150.000000 |                     287 |                  137
        13 |                175.000000 |                     400 |                  225
        14 |                203.000000 |                     410 |                  207
        15 |                232.000000 |                     434 |                  202
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      71 |                   44
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                      89 |                   37
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      30 |                   12
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     107 |                   55
         8 |                 68.000000 |                     155 |                   87
         9 |                 85.000000 |                     170 |                   85
        10 |                105.000000 |                     186 |                   81
        11 |                126.000000 |                     216 |                   90
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      86 |                   47
         7 |                 52.000000 |                     112 |                   60
         8 |                 68.000000 |                     160 |                   92
         9 |                 85.000000 |                     214 |                  129
        10 |                105.000000 |                     242 |                  137
        11 |                126.000000 |                     314 |                  188
        12 |                150.000000 |                     344 |                  194
        13 |                175.000000 |                     407 |                  232
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      79 |                   40
         7 |                 52.000000 |                     133 |                   81
         8 |                 68.000000 |                     154 |                   86
         9 |                 85.000000 |                     172 |                   87
        10 |                105.000000 |                     179 |                   74
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      25 |                   15
         4 |                 18.000000 |                      43 |                   25
         5 |                 27.000000 |                      58 |                   31
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                     120 |                   68
         8 |                 68.000000 |                     136 |                   68
         9 |                 85.000000 |                     196 |                  111
        10 |                105.000000 |                     226 |                  121
        11 |                126.000000 |                     314 |                  188
        12 |                150.000000 |                     409 |                  259
        13 |                175.000000 |                     433 |                  258
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                      97 |                   45
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      58 |                   31
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                      90 |                   38
         8 |                 68.000000 |                     141 |                   73
         9 |                 85.000000 |                     185 |                  100
        10 |                105.000000 |                     231 |                  126
        11 |                126.000000 |                     280 |                  154
        12 |                150.000000 |                     349 |                  199
        13 |                175.000000 |                     414 |                  239
        14 |                203.000000 |                     434 |                  231
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      27 |                   17
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                     119 |                   67
         8 |                 68.000000 |                     132 |                   64
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      49 |                   31
         5 |                 27.000000 |                      76 |                   49
         6 |                 39.000000 |                      83 |                   44
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      74 |                   35
         7 |                 52.000000 |                     120 |                   68
         8 |                 68.000000 |                     177 |                  109
         9 |                 85.000000 |                     206 |                  121
        10 |                105.000000 |                     209 |                  104
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      59 |                   32
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     127 |                   75
         8 |                 68.000000 |                     189 |                  121
         9 |                 85.000000 |                     215 |                  130
        10 |                105.000000 |                     268 |                  163
        11 |                126.000000 |                     341 |                  215
        12 |                150.000000 |                     383 |                  233
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      25 |                   15
         4 |                 18.000000 |                      45 |                   27
         5 |                 27.000000 |                      63 |                   36
         6 |                 39.000000 |                      72 |                   33
         7 |                 52.000000 |                      80 |                   28
         8 |                 68.000000 |                     126 |                   58
         9 |                 85.000000 |                     161 |                   76
        10 |                105.000000 |                     204 |                   99
        11 |                126.000000 |                     260 |                  134
        12 |                150.000000 |                     336 |                  186
        13 |                175.000000 |                     411 |                  236
        14 |                203.000000 |                     453 |                  250
        15 |                232.000000 |                     457 |                  225
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      49 |                   22
         6 |                 39.000000 |                      84 |                   45
         7 |                 52.000000 |                     100 |                   48
         8 |                 68.000000 |                     152 |                   84
         9 |                 85.000000 |                     166 |                   81
        10 |                105.000000 |                     197 |                   92
        11 |                126.000000 |                     284 |                  158
        12 |                150.000000 |                     362 |                  212
        13 |                175.000000 |                     367 |                  192
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      28 |                   18
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      78 |                   39
         7 |                 52.000000 |                     121 |                   69
         8 |                 68.000000 |                     155 |                   87
         9 |                 85.000000 |                     156 |                   71
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      58 |                   31
         6 |                 39.000000 |                     114 |                   75
         7 |                 52.000000 |                     170 |                  118
         8 |                 68.000000 |                     212 |                  144
         9 |                 85.000000 |                     222 |                  137
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      83 |                   44
         7 |                 52.000000 |                     121 |                   69
         8 |                 68.000000 |                     156 |                   88
         9 |                 85.000000 |                     224 |                  139
        10 |                105.000000 |                     272 |                  167
        11 |                126.000000 |                     305 |                  179
        12 |                150.000000 |                     343 |                  193
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     115 |                   63
         8 |                 68.000000 |                     163 |                   95
         9 |                 85.000000 |                     231 |                  146
        10 |                105.000000 |                     276 |                  171
        11 |                126.000000 |                     381 |                  255
        12 |                150.000000 |                     460 |                  310
        13 |                175.000000 |                     478 |                  303
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      28 |                   18
         4 |                 18.000000 |                      47 |                   29
         5 |                 27.000000 |                      58 |                   31
         6 |                 39.000000 |                      91 |                   52
         7 |                 52.000000 |                     106 |                   54
         8 |                 68.000000 |                     151 |                   83
         9 |                 85.000000 |                     210 |                  125
        10 |                105.000000 |                     234 |                  129
        11 |                126.000000 |                     236 |                  110
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      27 |                    9
         5 |                 27.000000 |                      63 |                   36
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     132 |                   80
         8 |                 68.000000 |                     178 |                  110
         9 |                 85.000000 |                     235 |                  150
        10 |                105.000000 |                     276 |                  171
        11 |                126.000000 |                     289 |                  163
        12 |                150.000000 |                     312 |                  162
        13 |                175.000000 |                     424 |                  249
        14 |                203.000000 |                     455 |                  252
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      88 |                   49
         7 |                 52.000000 |                     123 |                   71
         8 |                 68.000000 |                     160 |                   92
         9 |                 85.000000 |                     191 |                  106
        10 |                105.000000 |                     193 |                   88
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      30 |                   12
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      85 |                   46
         7 |                 52.000000 |                     105 |                   53
         8 |                 68.000000 |                     185 |                  117
         9 |                 85.000000 |                     193 |                  108
        10 |                105.000000 |                     210 |                  105
        11 |                126.000000 |                     331 |                  205
        12 |                150.000000 |                     378 |                  228
        13 |                175.000000 |                     388 |                  213
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      48 |                   30
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                     114 |                   62
         8 |                 68.000000 |                     139 |                   71
         9 |                 85.000000 |                     179 |                   94
        10 |                105.000000 |                     185 |                   80
        11 |                126.000000 |                     241 |                  115
        12 |                150.000000 |                     363 |                  213
        13 |                175.000000 |                     481 |                  306
        14 |                203.000000 |                     483 |                  280
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      18 |                    8
